Reviewer Name,Review Date,Review Content
mrfazrulizham,2024-03-24,"Quality:Original
Performance:As per specifications

Fast delivery with extra protective packaging. Most important it is original. Very satisfied during this 1 day use. Hopefully no problem occurs in future. Recommended seller. Thumbs up!"
jemahsenget,2024-03-24,"Performance:What we expect Snap 8 gen 2
Quality:Pretty decent

Took 2 days delivery from ipoh to sg petani. Totally genuine product. As i was told, the seller unsealed the box to register the warranty. In love with the graphite color. Worthy purchase at rm3069 instead of rm4499 from official store. Hopefully it can last at least for 2 years. Thanks seller."
darkmex13,2024-03-24,"Quality:excellent

Writing this review using my z flip 3 to take pics of my flip 5, major improvement in performance and camera quality. Love it"
harm19752003,2024-03-24,"Performance:very fast and responsive
Quality:genuine product fron Samsung

I  akready buy several times from this seller.. very helpful and very fast deliivery too.. thumb up for seller.."
diralibra,2024-03-24,"Performance:terbaik 👍.. smooth
Quality:terbaik 👍..

Addicted to the cover screen.. still learning to flex haha! But seriously, thank you! A bday present for myself and seller laju sgt post out and jnt pn laju sgt deliver! Best bday present 🎁 ❤️.."
adeela95,2023-12-20,"Quality:Original Product (y)
Performance:So far so good

Very fast ship out from seller & courier, received the next day after placing my order! Love my new Z Flip 5! Totally recommend as they provide original product!!"
s*****d,2024-02-17,"Performance:as it should
Quality:new & original SAMSUNG

Original and new. Trusted seller. Paid 16/12 seller ship out 20/12 took 4days. Upgrading my phone for my birthday. Thankyou seller."
m*****d,2023-12-02,"Performance:good quality. Ori product. Check imei n serial number, matched.. cheapest in market so far..

Fast delivery, shipment up to 5day, but its due to public holiday, and weekend, so its acceptable
Already checked imei n serial number, matched with official website, warranty also start after i made payment, so confirm its new set. Trusted seller.."
l*****y,2024-03-24,"Quality:Superb
Performance:Running smoothly

Seller super helpful. Sangat mudah berurusan. Phone cantik. From someone yg dah guna iphone for almost 10 years, this phone is worth it sgt. Easy to use and super cute. One of the cheapest stores kat shopee"
y*****e,2024-01-02,"Quality:Very good
Performance:Very good

Delivery took 6 days due to the Christmas holiday but the phone works fine and the warranty is a year. I love this super cute phone~ <3"
jern0wei,2023-10-31,"Performance:Excellent as expected with the latest CPU gen.
Quality:I would say it's good based on the finishing and the opening of the phone is much smoother than expected

Been a user of Samsung Galaxy Note 20 Ultra, still trying to get use to a smaller phone which is much slimmer in comparison.
Overall would rate it 9/10 in terms of convenience and portability."
m*****s,2024-03-24,"Performance:ORIGINAL
Quality:SUPERB

#Packaging By Seller#
= VERY GOOD 
  
#Delivery Time By Courier#
= 4 DAYS 
  
#Seller Response#
= NICE 

#Comment# 
= THE ITEM IS VERY GOOD. 

OVERALL RATING
1️⃣0️⃣ / 1️⃣0️⃣"
kvwong1978,2024-03-08,"Quality:Very good
Performance:Very good

Phone abit hot possible due to the OS updating, fingerprint sensor not that responsive, old school pin much better."
hear.ty,2024-03-17,"Quality:good
Performance:good

1st time beli dengan Mobile Gadget. so far memuaskan.  Samsung Flip5 ni cantik. Lulus!"
shirleyc.95,2024-03-22,Phone looks nice. Packaging is ok too.. just seller a bit unresponsive.. but all in all its still ok.. received it after a week..
s0n4w4ng,2023-12-25,"Quality:mantab pantas
Performance:original as info

Seller pantas dan super info... tq seller for good item"
j*****8,2023-12-31,"Performance:ok
Quality:ok

Need to buy cover otherwise very slippery. Delivery should be more cautious."
m*****0,2023-12-23,"Performance:thorbaik
Quality:origin

Tq seller … I like it … recommended 
Will deal again … bravo seller"
phanora,2023-12-23,"Performance:Very Good
Quality:Very Good

Product is original, delivery was fast, very trusted shop"
fatehirfan,2023-11-24,"Performance:good
Quality:Original

Barang sampai cepat.. 2 hari da smpai.. phone ok.. mmg original samsung.. tq seller.."
x*****2,2024-02-16,"Performance:smooth
Quality:seems good after using for 1 month

So far, the phone is working fine. Picture quality very clear.

Just disappointed with the slow shipping time (5 days), but other buyers get their order shipped within 1 day.

Ordered 11.11 12am
Shipped 16.11 (15.11 evening after cut-off time)
Received 20.11 

Not sure whether to repeat order again unless seller improve their shipping time."
m*****n,2024-02-05,"Performance:Great
Quality:So so

SHIP OUT TOOK TOO LONG (seller took almost a week to ship my item and that already took the time of WARRANTY + shipping time!) I’m too frustrated about that plus no more information about what is included in the package. From previous review of the product I thought I would get casing too but unfortunately no.

Product?
Camera so-so, sound so-so, battery drains fast, not that good.

What’s good about the product is the design, the ability to charge other phones, the slim and lightweight, and I’m surprised I like the flip one cuz I’m afraid that flip will done damage to my phone but fortunately the design was shocking. One bit inconvenient about the flip is only at the flip line it’s hard sometimes to touch the screen and also the line is visible (not that we can do much about it)

But so far, it’s a good try Overall performance,3.5 stars!"
yahhmuss,2024-03-05,Shippingnya laju itemnya pun perfect dn cantik. Ada waranty 1 thn item original dri samsung Malaysia suke sgt ....thank q seller 😍😍
k*****h,2024-01-16,"Quality:good
Performance:doing well so far

The pic and video quality is quite good. The interface inside is just like normal samsung but what makes it fun is that you can see ur notifications, change spotify songs, open a few apps and track your steps all at the small screen in front (and more). The video quality is good hoewever the front cam is not that great. But no issues on that bcs you'll be using more at the back camera. Im impressed with samsung health features as i use it often for my workout routine. I do notice 0.5 lens is not that clear but still acceptable. Overall good experience and in love with how cute and convenient this phone is."
loliart,2023-12-16,"Quality:good ..
Performance:good

i check everything and is genuine product .. i like the colour and fast delivery too"
iriz_collection,2023-12-23,"Performance:genuine product, berfungsi dengan baik.
Quality:original samsung

Sangat berpuas hati utk 1 hari pakai. Harap kekal elok.Penghantaran dari seller pon pantas."
a*****s,2023-12-26,"Quality:all good perhaps
Performance:hope all ok

Received with thanks. Kid wanna it so bad so yeah bought 3k for 16yrs u think?"
lenangelsky,2023-09-28,"Performance:good
Quality:good

Phone received brand new and in good condition. Fast delivery by seller and responsive."
sofeaanne02,2023-12-09,"Performance:Good
Quality:Good

Bought for my husband. He loves it so much. Thank you seller for the fast delivery. 👍💯🚚✅⭐🔟❤️"
m*****f,2023-10-13,"Performance:Good

Sampai dalam 3 days. Seller ship cepat just j&t yg hold 2 days. Setakat ni everything okay 😇"
m*****b,2023-12-21,Item is good. Delivery quite fast. Seller responsible. Sorry picture & video just to get coins.
j*****m,2023-09-25,"Even though delivered not on time, still quality is good"
3419weng,2024-02-16,"Quality:This Samsung flip 5 is original and a great phone.

This Samsung flip 5 phone was placed on the garage floor. I was at home all morning and didn't received a call or door  bell. Expensive items should be delivered properly. What happens if the item is stolen or rolled over by a car. seller is very  unconcerned .Disappointed."
cactus223,2023-12-25,"Seller send out wrong item, was able to exchange it with free gift compensation. Good job"
sharonnsl76,2023-12-27,"fast delivety..
goid oroduct quality..
good value for money"
wongbengyaw,2024-02-18,Received original products. Happy as it’s cheaper than other seller but not happy because the post 10.10 promotion is slightly cheaper.
muihhzzg,2023-10-29,"Performance:Nice
Quality:Great condition

Sadly got no free gift."
y*****e,2024-02-17,"Quality:new
Performance:very good

very excited for the flip phone!!!"
donnylingtekshii,2023-12-11,Everything is good and deliver on time...free gifts are received as well
eyooot,2024-01-11,"Ini saye nak review pasal insuran igloo,
Dalam beberapa hari saye gune z flip 5 ni..saye terjatuhkan barang atas screen menyebabkan screen luka (gambar pertama)
Tanpa menunggu saye claim insuran igloo yang saya bayar semasa proses pembelian di sini.
Proses ambil masa 5 hari saja untuk claim dan handpon saye kembali seperti baru (gambar kedua).
Terbaik igloo..tak rugi insurankan barang mahal
*di samsung service center tak boleh claim warranty sebab kesalahan saya sendiri."
amirlp17,2023-10-27,"Performance:fast delivery by seller

100% ori product👍"
kxtan84,2023-11-02,"Performance:ok
Quality:ok

fast delivery, good job"
ismawatika,2024-03-01,Very light ⋅ Easy to put in my pocket ⋅ Compact and small. 😎
lhanuar,2023-11-15,"Very fast delivery, only took 2 days."
g*****o,2023-12-20,So far so good..used it about 2 days..hopefully no problem after this..the best..
i*****8,2024-02-24,"Tq.. dh sampai, mula2 risau jgk nk beli takut x sampai. X habis godek lg phone. Tp setakat ni nmpk ok. Nnt pape sy update balik.

Tq seller"
azzaroney,2023-10-02,Tq seller ... recommended seller
kenpachihairil,2023-12-23,Original Samsung - can check Live Chat n provide IMEI
g*****n,2024-03-06,"Performance:good
Quality:good

Fast delivery"
j*****n,2023-11-19,All good.
zhiyuennn,2023-11-24,"Performance:good
Quality:good"
bestever50,2023-10-23,
a*****q,2023-12-25,trusted seller.. 👍🏻👍🏻
naddyarani,2023-12-18,
a*****3,2023-11-20,Mint matches the forest green ringke case. All good!
jhooi95,2023-12-18,
babeoymong,2024-02-12,"I bought devices from this seller many times, never let me disappointed 🫡"
adelineyow,2023-12-29,"Quality:Nice
Performance:Perfect

Bought it on a great deal. Love it max. Hope it serves me well"
m*****6,2024-01-16,"Quality:new
Performance:excellent

Aku tak kisah org nak ckp apa pasai fon ni , yg aku tau sapa dah pegang mmg jatuh cinta dan terima kasih jgk seller yg ramah pastu baik , senang bawak bincang,dapat fon baru apa nak di komen kan. Enjoy buddy , reward akhir tahun untuk diri sendiri. Alhamdullilah dapat merasa."
h*****9,2023-12-25,"Performance:Will have to try 1st
Quality:Good

Fast delivery as usual even to EM and always the cheapest compare with others. Thanks seller!"
tycoon8,2023-12-29,"Quality:super
Performance:good"
s*****z,2023-10-13,"Performance:Excellent
Quality:Excellent"
miqbalmhamidon,2023-10-09,"Quality:Great
Performance:Great"
g*****8,2024-01-04,Great. Trustworthy seller.
r*****a,2023-10-28,Fast shipping
a*****1,2023-10-31,"serius cantik!🥰🥰
tq seller 🙏🏻🙏🏻"
jonk3,2023-10-29,Good. As advertised!
c*****1,2023-12-15,
a*****3,2024-01-03,
t*****i,2023-10-17,
a*****6,2023-09-19,
imanadia87,2023-10-16,
alia3001,2023-11-01,
najihah046,2023-12-25,
sirtuan,2023-12-19,
nueulll,2023-12-22,
jon9922,2023-12-16,
ismailla,2023-12-17,
akeelim,2023-12-16,
maszmukhtar,2023-12-15,
l*****n,2023-09-19,
lurunhakita,2023-09-23,
ypleo1,2023-10-05,
rumesh,2023-10-01,
khawkhai,2023-10-30,
primeaz1324,2023-11-03,
mkisland.my,2023-11-07,
z*****5,2023-11-17,
blackantsp,2023-11-16,
yap_hl,2023-11-15,
aramzis,2023-11-16,
fafafaaatin98,2023-11-17,
eenaalina,2023-11-14,
nanzeether,2023-11-21,
marcdylanlabangka,2023-11-24,
adha_arazman,2023-11-27,
s*****y,2023-11-26,
i*****a,2023-11-25,
cikpening,2023-12-27,
callmebaby1314,2023-12-27,
