Score,Text,Tokens,Preprocessed_Text
5,i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than most,"['bought', 'several', 'vitality', 'canned', 'dog', 'food', 'product', 'found', 'good', 'quality', 'product', 'look', 'like', 'stew', 'processed', 'meat', 'smell', 'better', 'labrador', 'finicky', 'appreciates', 'product', 'better']",bought several vitality canned dog food product found good quality product look like stew processed meat smell better labrador finicky appreciates product better
1,product arrived labeled as jumbo salted peanutsthe peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo,"['product', 'arrived', 'labeled', 'jumbo', 'salted', 'peanutsthe', 'peanut', 'actually', 'small', 'sized', 'unsalted', 'sure', 'error', 'vendor', 'intended', 'represent', 'product', 'jumbo']",product arrived labeled jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo
4,this is a confection that has been around a few centuries it is a light pillowy citrus gelatin with nuts in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of cs lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sisters to the witch,"['confection', 'around', 'century', 'light', 'pillowy', 'citrus', 'gelatin', 'nut', 'case', 'filbert', 'cut', 'tiny', 'square', 'liberally', 'coated', 'powdered', 'sugar', 'tiny', 'mouthful', 'heaven', 'chewy', 'flavorful', 'highly', 'recommend', 'yummy', 'treat', 'familiar', 'story', 'c', 'lewis', 'lion', 'witch', 'wardrobe', 'treat', 'seduces', 'edmund', 'selling', 'brother', 'sister', 'witch']",confection around century light pillowy citrus gelatin nut case filbert cut tiny square liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story c lewis lion witch wardrobe treat seduces edmund selling brother sister witch
2,if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which was good and made some cherry soda the flavor is very medicinal,"['looking', 'secret', 'ingredient', 'robitussin', 'believe', 'found', 'got', 'addition', 'root', 'beer', 'extract', 'ordered', 'good', 'made', 'cherry', 'soda', 'flavor', 'medicinal']",looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal
5,great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal,"['great', 'taffy', 'great', 'price', 'wide', 'assortment', 'yummy', 'taffy', 'delivery', 'quick', 'taffy', 'lover', 'deal']",great taffy great price wide assortment yummy taffy delivery quick taffy lover deal
4,i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy it was a delightful treat,"['got', 'wild', 'hair', 'taffy', 'ordered', 'five', 'pound', 'bag', 'taffy', 'enjoyable', 'many', 'flavor', 'watermelon', 'root', 'beer', 'melon', 'peppermint', 'grape', 'etc', 'complaint', 'bit', 'much', 'redblack', 'licoriceflavored', 'piece', 'particular', 'favorite', 'kid', 'husband', 'lasted', 'two', 'week', 'would', 'recommend', 'brand', 'taffy', 'delightful', 'treat']",got wild hair taffy ordered five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavored piece particular favorite kid husband lasted two week would recommend brand taffy delightful treat
5,this saltwater taffy had great flavors and was very soft and chewy each candy was individually wrapped well none of the candies were stuck together which did happen in the expensive version fralingers would highly recommend this candy i served it at a beachthemed party and everyone loved it,"['saltwater', 'taffy', 'great', 'flavor', 'soft', 'chewy', 'candy', 'individually', 'wrapped', 'well', 'none', 'candy', 'stuck', 'together', 'happen', 'expensive', 'version', 'fralingers', 'would', 'highly', 'recommend', 'candy', 'served', 'beachthemed', 'party', 'everyone', 'loved']",saltwater taffy great flavor soft chewy candy individually wrapped well none candy stuck together happen expensive version fralingers would highly recommend candy served beachthemed party everyone loved
5,this taffy is so good it is very soft and chewy the flavors are amazing i would definitely recommend you buying it very satisfying,"['taffy', 'good', 'soft', 'chewy', 'flavor', 'amazing', 'would', 'definitely', 'recommend', 'buying', 'satisfying']",taffy good soft chewy flavor amazing would definitely recommend buying satisfying
5,right now im mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too,"['right', 'im', 'mostly', 'sprouting', 'cat', 'eat', 'grass', 'love', 'rotate', 'around', 'wheatgrass', 'rye']",right im mostly sprouting cat eat grass love rotate around wheatgrass rye
5,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding,"['healthy', 'dog', 'food', 'good', 'digestion', 'also', 'good', 'small', 'puppy', 'dog', 'eats', 'required', 'amount', 'every', 'feeding']",healthy dog food good digestion also good small puppy dog eats required amount every feeding
